shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10001,43.417021,-80.540899,580006
10001,43.416851,-80.541029,580007
10001,43.416851,-80.541029,590001
10001,43.416790,-80.541075,590002
10001,43.416598,-80.541172,590003
10001,43.416298,-80.541221,590004
10001,43.416292,-80.541669,590005
10001,43.416375,-80.542725,590006
10001,43.416400,-80.543026,590007
10001,43.416400,-80.543026,600001
10001,43.416501,-80.544273,600002
10001,43.416548,-80.544889,600003
10001,43.416502,-80.545239,600004
10001,43.416282,-80.545788,600005
10001,43.415900,-80.546729,600006
10001,43.415649,-80.547469,600007
10001,43.415649,-80.547469,610001
10001,43.415630,-80.547524,610002
10001,43.415591,-80.547680,610003
10001,43.415433,-80.548519,610004
10001,43.415400,-80.548954,610005
10001,43.415427,-80.549311,610006
10001,43.415461,-80.549514,610007
10001,43.415492,-80.549872,610008
10001,43.415467,-80.550162,610009
10001,43.415423,-80.550442,610010
10001,43.415378,-80.550598,610011
10001,43.415378,-80.550598,620001
10001,43.415341,-80.550731,620002
10001,43.414905,-80.552112,620003
10001,43.414788,-80.552452,620004
10001,43.414761,-80.552606,620005
10001,43.414794,-80.552616,620006
10001,43.414843,-80.552653,620007
10001,43.414875,-80.552694,620008
10001,43.414907,-80.552776,620009
10001,43.414914,-80.552851,620010
10001,43.415370,-80.552858,620011
10001,43.415913,-80.552846,620012
10001,43.417954,-80.552794,620013
10001,43.418390,-80.552787,620014
10001,43.418390,-80.552787,630001
10001,43.421462,-80.552739,630002
10001,43.421905,-80.552738,630003
10001,43.422828,-80.552715,630004
10001,43.422836,-80.552641,630005
10001,43.422850,-80.552583,630006
10001,43.422886,-80.552521,630007
10001,43.422919,-80.552485,630008
10001,43.422954,-80.552461,630009
10001,43.423000,-80.552446,630010
10001,43.423039,-80.552444,630011
10001,43.423085,-80.552459,630012
10001,43.423117,-80.552476,630013
10001,43.423154,-80.552515,630014
10001,43.423188,-80.552572,630015
10001,43.423211,-80.552650,630016
10001,43.423217,-80.552713,630017
10001,43.423377,-80.552712,630018
10001,43.423474,-80.552728,630019
10001,43.423484,-80.552729,630020
10001,43.423484,-80.552729,640001
10001,43.423587,-80.552735,640002
10001,43.425822,-80.552642,640003
10001,43.425822,-80.552642,650001
10001,43.425850,-80.552641,650002
10001,43.426291,-80.552613,650003
10001,43.426750,-80.552633,650004
10001,43.427306,-80.552670,650005
10001,43.428515,-80.552984,650006
10001,43.428621,-80.553005,650007
10001,43.428630,-80.552950,650008
10001,43.428651,-80.552898,650009
10001,43.428674,-80.552854,650010
10001,43.428717,-80.552814,650011
10001,43.428769,-80.552790,650012
10001,43.428819,-80.552789,650013
10001,43.428867,-80.552805,650014
10001,43.428919,-80.552852,650015
10001,43.428958,-80.552923,650016
10001,43.428978,-80.553005,650017
10001,43.428977,-80.553086,650018
10001,43.429080,-80.553119,650019
10001,43.429359,-80.553250,650020
10001,43.429387,-80.553265,650021
10001,43.429387,-80.553265,660001
10001,43.429722,-80.553438,660002
10001,43.430149,-80.553668,660003
10001,43.430730,-80.554046,660004
10001,43.431321,-80.554497,660005
10001,43.432102,-80.555170,660006
10001,43.432489,-80.555514,660007
10001,43.432866,-80.555845,660008
10001,43.434424,-80.557284,660009
10001,43.434807,-80.557666,660010
10001,43.435222,-80.558093,660011
10001,43.435233,-80.558071,660012
10001,43.435257,-80.558038,660013
10001,43.435284,-80.558012,660014
10001,43.435314,-80.557992,660015
10001,43.435346,-80.557980,660016
10001,43.435380,-80.557977,660017
10001,43.435413,-80.557980,660018
10001,43.435446,-80.557991,660019
10001,43.435476,-80.558010,660020
10001,43.435503,-80.558036,660021
10001,43.435527,-80.558069,660022
10001,43.435546,-80.558106,660023
10001,43.435561,-80.558147,660024
10001,43.435570,-80.558191,660025
10001,43.435573,-80.558237,660026
10001,43.435570,-80.558283,660027
10001,43.435561,-80.558327,660028
10001,43.435547,-80.558369,660029
10001,43.435523,-80.558415,660030
10001,43.435505,-80.558439,660031
10001,43.435478,-80.558465,660032
10001,43.435447,-80.558485,660033
10001,43.435415,-80.558498,660034
10001,43.435382,-80.558502,660035
10001,43.435348,-80.558498,660036
