stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1146,1146,Highpoint / Toll Gate,,  43.484941, -80.559992,,,0,,1
1147,1147,Toll Gate / Glen Forrest,,  43.487188, -80.556674,,,0,,1
1148,1148,Glen Forrest / Teakwood,,  43.486141, -80.553578,,,0,,1
1149,1149,Cedarbrae / Glen Forrest,,  43.485665, -80.551565,,,0,,1
1150,1150,Cedarbrae / Heasley Park,,  43.487946, -80.550089,,,0,,1
1152,1152,Cedarbrae / Sprucehill,,  43.489613, -80.548061,,,0,,1
1153,1153,Parkside / Glenelm,,  43.490196, -80.545175,,,0,,1
1154,1154,Parkside / Weber,,  43.492589, -80.544625,,,0,,1
1155,1155,Albert / Weber,,  43.491552, -80.537559,,,0,,1
1156,1156,Albert / Longwood,,  43.490533, -80.539508,,,0,,1
1157,1157,Albert / Quiet,,  43.487633, -80.541571,,,0,,1
1158,1158,Hazel / Wildwood,,  43.485723, -80.539087,,,0,,1
1159,1159,Hazel / Tamarack,,  43.485233, -80.536955,,,0,,1
1160,1160,Hazel / Smallwood,,  43.483646, -80.535139,,,0,,1
1161,1161,Hazel / Austin,,  43.481575, -80.533084,,,0,,1
1162,1162,Waterloo C.I.,,  43.478946, -80.531039,,,0,,1
1163,1163,Hazel / Hickory,,  43.477898, -80.530219,,,0,,1
1165,1165,King / University,,  43.476319, -80.525075,,,0,,1
1166,1166,University / King,,  43.476025, -80.525782,,,0,place_KUN,1
1167,1167,Laurier,,  43.475513, -80.528259,,,0,,1
1168,1168,Hazel / Hickory,,  43.477880, -80.530034,,,0,,1
1169,1169,Vondrau / 90 Block,,  43.431713, -80.375538,,,0,,1
1170,1170,Conestoga / Lena,,  43.392440, -80.315306,,,0,,1
1171,1171,Waterloo C.I.,,  43.479569, -80.531344,,,0,,1
1172,1172,Hazel / Austin,,  43.481538, -80.532924,,,0,,1
1173,1173,Hazel / Smallwood,,  43.483771, -80.535095,,,0,,1
1174,1174,Hazel / Blythwood,,  43.485671, -80.537294,,,0,,1
1175,1175,Hazel / Albert,,  43.485734, -80.539433,,,0,,1
1176,1176,Albert / Greenbrier,,  43.488146, -80.541394,,,0,,1
1177,1177,Albert / Longwood,,  43.490541, -80.539174,,,0,,1
1178,1178,Weber / Albert,,  43.492038, -80.537641,,,0,,1
1179,1179,Parkside / Weber,,  43.492652, -80.544798,,,0,,1
1180,1180,Ira Needles / Highland,,  43.423466, -80.552844,,,0,,1
1181,1181,Cedarbrae / Mount Anne,,  43.490028, -80.546104,,,0,,1
1182,1182,Cedarbrae / Sprucehill,,  43.489819, -80.547738,,,0,,1
1183,1183,Cedarbrae / Heasley Pk Trail,,  43.488010, -80.550249,,,0,,1
1184,1184,Cedarbrae / Glen Forrest,,  43.485674, -80.551714,,,0,,1
1185,1185,Glen Forrest / Brookhaven,,  43.487040, -80.555426,,,0,,1
1186,1186,Toll Gate / Glen Forrest,,  43.487297, -80.556710,,,0,,1
1187,1187,Toll Gate / Dogwood,,  43.486153, -80.559081,,,0,,1
1188,1188,Toll Gate / Highpoint,,  43.485102, -80.559669,,,0,,1
1189,1189,Highpoint / Dogwood,,  43.486709, -80.563096,,,0,,1
